attribute,min,max,mid,avg,median
blueWardsPlaced,5.0,250.0,127.5,22.28828828828829,16.0
blueWardsDestroyed,0.0,27.0,13.5,2.824881060836117,3.0
blueFirstBlood,0.0,1.0,0.5,0.5048081789654824,1.0
blueKills,0.0,22.0,11.0,6.18392549853224,6.0
blueDeaths,0.0,22.0,11.0,6.137665755643284,6.0
blueAssists,0.0,29.0,14.5,6.645105779937241,6.0
blueEliteMonsters,0.0,2.0,1.0,0.5499544488308533,0.0
blueDragons,0.0,1.0,0.5,0.3619799574855755,0.0
blueHeralds,0.0,1.0,0.5,0.18797449134527786,0.0
blueTowersDestroyed,0.0,4.0,2.0,0.05142220872557951,0.0
blueTotalGold,10730.0,23701.0,17215.5,16503.455511691467,16398.0
blueAvgLevel,4.6,8.0,6.3,6.916003644092965,7.0
blueTotalExperience,10098.0,22224.0,16161.0,17928.110132604514,17951.0
blueTotalMinionsKilled,90.0,283.0,186.5,216.6995647332726,218.0
blueTotalJungleMinionsKilled,0.0,92.0,46.0,50.50966697034113,50.0
blueGoldDiff,-10830.0,11467.0,318.5,14.414110739953436,14.0
blueExperienceDiff,-9333.0,8348.0,-492.5,-33.62030569895738,-28.0
blueCSPerMin,9.0,28.3,18.65,21.66995647332734,21.8
blueGoldPerMin,1073.0,2370.1,1721.55,1650.3455511691432,1639.8
redWardsPlaced,6.0,276.0,141.0,22.367952221884806,16.0
redWardsDestroyed,0.0,24.0,12.0,2.723150116408543,2.0
redFirstBlood,0.0,1.0,0.5,0.49519182103451764,0.0
redKills,0.0,22.0,11.0,6.137665755643284,6.0
redDeaths,0.0,22.0,11.0,6.18392549853224,6.0
redAssists,0.0,28.0,14.0,6.662111549751999,6.0
redEliteMonsters,0.0,2.0,1.0,0.5731349326854945,0.0
redDragons,0.0,1.0,0.5,0.41309849175017715,0.0
redHeralds,0.0,1.0,0.5,0.16003644093531735,0.0
redTowersDestroyed,0.0,2.0,1.0,0.04302054863852617,0.0
redTotalGold,11212.0,22732.0,16972.0,16489.04140095151,16378.0
redAvgLevel,4.8,8.2,6.5,6.9253163275629515,7.0
redTotalExperience,10465.0,22269.0,16367.0,17961.73043830347,17974.0
redTotalMinionsKilled,107.0,289.0,198.0,217.3492256301245,218.0
redTotalJungleMinionsKilled,4.0,92.0,48.0,51.313088369268144,51.0
redGoldDiff,-11467.0,10830.0,-318.5,-14.414110739953436,-14.0
redExperienceDiff,-8348.0,9333.0,492.5,33.62030569895738,28.0
redCSPerMin,10.7,28.9,19.799999999999997,21.734922563012518,21.8
redGoldPerMin,1121.2,2273.2,1697.1999999999998,1648.9041400951508,1637.8
BlueKillDeathRatio,0.0,17.0,8.5,1.345596531899885,1.0
RedKillDeathRatio,0.0,16.0,8.0,1.3484257575314889,1.0
